Pesoh,Cinturah,,,,
33.4,60.6,,,,
31.9,59.5,,,,
48.025,79.65,,,,
31.5,60.7,,,,
59.85,96.2,,,,
43.1,82.8,,,,
25.4,62.4,,,,
37.2,63,,,,
51.5,88.4,,,,
25.55,62,,,,
47.05,76.4,,,,
36.05,66.15,,,,
38.65,68.2,,,,
39.9,63.5,,,,
28.75,62.6,,,,
30.05,65.15,,,,
44.15,62.6,,,,
57.3,71.6,,,,
26.4,56.15,,,,
42.35,76.5,,,,
41.5,70.45,,,,
32.75,60.85,,,,
46.4,66.5,,,,
57.45,68.5,,,,
29.725,59.75,,,,
29.35,58.5,,,,
41.45,74.4,,,,
31.2,62.6,,,,
39.85,62.2,,,,
105,102.7,,,,
55.35,72.7,,,,
31.5,60.15,,,,
28.125,59.1,,,,
54.1,71.1,,,,
30.325,61.35,,,,
53.4,88.5,,,,
50.7,69.3,,,,
28.575,57.5,,,,
58.4,89.05,,,,
44.35,69.1,,,,
29.9,58.5,,,,
28.2,54.3,,,,
29.7,58.8,,,,
33.8,62.25,,,,
67.3,83.35,,,,
59.4,90,,,,
34.3,62,,,,
32.1,61.2,,,,
26.925,59.05,,,,
30.8,60.25,,,,
28.35,57.2,,,,
23.35,51.7,,,,
39.425,62.9,,,,
41.325,62.35,,,,
61.4,77.2,,,,
23.575,53.4,,,,
116.45,127,,,,
76.65,91.1,,,,
47.125,73.5,,,,
28.15,54.6,,,,
36.075,60.2,,,,
85.4,106.5,,,,
65.3,80.1,,,,
48.04,78,,,,
47.075,66,,,,
28.775,61.95,,,,
61.8,81.8,,,,
51.3,84.3,,,,
32.575,60.2,,,,
68.15,87.95,,,,
33.4,74.1,,,,
41.9,78.3,,,,
28.7,53.2,,,,
34.3,70.4,,,,
43.275,70.6,,,,
43.725,67.2,,,,
49.7,81.2,,,,
32.45,57.2,,,,
41.825,72.1,,,,
32,59.95,,,,
30.1,61,,,,
29.2,58,,,,
39.65,67.1,,,,
60.6,80,,,,
43.5,74,,,,
49.3,69,,,,
50.45,67.4,,,,
26.6,53.25,,,,
27.2,57.5,,,,
37.275,68,,,,
40.55,67.7,,,,
24.05,58,,,,
73.3,88,,,,
31.5,61,,,,
41.95,66.4,,,,
39.95,66.6,,,,
30,58.3,,,,
50.1,80.45,,,,
28.75,57.55,,,,
27.2,60.55,,,,
29.65,63.2,,,,
62,80.2,,,,
34.9,61.4,,,,
71.6,90,,,,
56.4,72,,,,
50.2,84.35,,,,
37.3,70.1,,,,
33.075,62.95,,,,
59.105,80.5,,,,
27.3,56.65,,,,
25.825,57.05,,,,
26.175,57.75,,,,
28.4,58.2,,,,
33.775,57.1,,,,
71.2,82.05,,,,
70.4,80.9,,,,
53.3,76.15,,,,
30.9,58.5,,,,
28.4,55.15,,,,
49.5,80.4,,,,
62,76.5,,,,
30.45,60.5,,,,
46.95,73.15,,,,
54.875,74.4,,,,
58.35,70.65,,,,
55.3,70.25,,,,
45.2,66.4,,,,
50.45,68.9,,,,
26.65,52.4,,,,
