Pesom,Cinturam,,,,
35.65,64,,,,
54.8,67.6,,,,
97.95,113,,,,
31.95,57.3,,,,
32.4,63.4,,,,
71.7,89,,,,
42.3,63.2,,,,
48.425,75.4,,,,
80.6,105.2,,,,
38,62.3,,,,
61.85,89,,,,
44.95,65.05,,,,
69.7,108,,,,
65.1,99.3,,,,
23.375,52,,,,
42.775,72.8,,,,
47.45,68.1,,,,
34,58.5,,,,
41.775,91.1,,,,
28.6,59.6,,,,
49.175,70.15,,,,
65.4,84.1,,,,
24.45,69,,,,
43,73.5,,,,
62.8,95.95,,,,
29.025,60.1,,,,
76.1,101.35,,,,
50.9,77,,,,
25.45,55.4,,,,
26.4,55.1,,,,
32.75,65.15,,,,
51.5,73.65,,,,
38.9,71.2,,,,
49.5,72.4,,,,
43.2,65.9,,,,
83.75,,,,,
51,73.5,,,,
71.3,88.3,,,,
56.7,73.2,,,,
49.1,65.6,,,,
35.175,60,,,,
26.175,63.5,,,,
68.1,89,,,,
73.2,83.25,,,,
33.825,60.1,,,,
49.3,72.8,,,,
48.475,72.15,,,,
61.15,,,,,
48.9,76.7,,,,
59,,,,,
25.375,58.15,,,,
47.45,68,,,,
37.4,62,,,,
27.7,55.5,,,,
28.05,62.2,,,,
35.675,68.2,,,,
32.875,62.9,,,,
31.15,62.5,,,,
30.5,57.7,,,,
37.95,69.4,,,,
60.5,80,,,,
47.325,73,,,,
49.725,75,,,,
38.5,62,,,,
74.5,,,,,
31.95,61.55,,,,
59.8,76,,,,
47,73.5,,,,
22.4,51.2,,,,
25.25,54.05,,,,
31.8,55.4,,,,
61.15,,,,,
39.65,60.5,,,,
42.9,67.5,,,,
65.3,83.4,,,,
43.95,62.85,,,,
51,72.55,,,,
27.65,53,,,,
67.75,,,,,
43.45,75.5,,,,
38.15,65.9,,,,
37.25,222.2,,,,
62.1,85.5,,,,
48.15,84.2,,,,
40.875,75.9,,,,
38.275,62.85,,,,
56.4,90.2,,,,
66.55,91.65,,,,
49.75,72,,,,
46.1,64.5,,,,
41.325,65.55,,,,
35.65,64.2,,,,
66.1,88.6,,,,
47.3,82.25,,,,
108.75,,,,,
47.8,54,,,,
41.75,66,,,,
